date,open,high,low,close,volume,suspicious_flag
2011-08-15,1178.86,1204.49,1178.86,1204.49,875143158.0,
2011-08-16,1204.22,1204.22,1180.53,1192.76,892918449.0,
2011-08-17,1192.89,1208.47,1184.36,1193.89,799148246.0,
2011-08-18,1189.62,1189.62,1131.03,1140.65,1326473488.0,
2011-08-19,1140.47,1154.54,1122.05,1123.53,1292171219.0,
2011-08-22,1123.55,1145.49,1121.09,1123.82,921672130.0,
2011-08-23,1124.36,1162.35,1122.91,1162.35,974322576.0,
2011-08-24,1162.16,1178.56,1156.3,1177.6,896275448.0,
2011-08-25,1176.69,1190.68,1155.47,1159.27,961055302.0,
2011-08-26,1158.85,1181.23,1135.91,1176.8,942995152.0,
2011-08-29,1177.91,1210.28,1177.91,1210.09,704395178.0,
2011-08-30,1209.76,1220.1,1195.77,1212.92,814984426.0,
2011-08-31,1213.0,1230.71,1209.35,1218.89,980959117.0,
2011-09-01,1219.12,1229.29,1203.85,1204.42,753928567.0,
2011-09-02,1203.9,1203.9,1170.56,1173.97,737019504.0,
2011-09-06,1173.97,1173.97,1140.13,1165.24,905350333.0,
2011-09-07,1165.85,1198.62,1165.85,1198.62,824674927.0,
2011-09-08,1197.98,1204.4,1183.34,1185.9,853512419.0,
2011-09-09,1185.37,1185.37,1148.37,1154.23,1034723080.0,
2011-09-12,1153.5,1162.52,1136.07,1162.27,881437245.0,
2011-09-13,1162.59,1176.41,1157.44,1172.87,845125793.0,
2011-09-14,1173.32,1202.38,1162.73,1188.68,912791240.0,
2011-09-15,1189.44,1209.11,1189.44,1209.11,842992855.0,
2011-09-16,1209.21,1220.06,1204.46,1216.01,1604692748.0,
2011-09-19,1214.99,1214.99,1188.36,1204.09,756958669.0,
2011-09-20,1204.5,1220.39,1201.29,1202.09,736218388.0,
2011-09-21,1203.63,1206.3,1166.21,1166.76,989819188.0,
2011-09-22,1164.55,1164.55,1114.22,1129.56,1392232963.0,
2011-09-23,1128.82,1141.72,1121.36,1136.43,981182421.0,
2011-09-26,1136.91,1164.19,1131.07,1162.95,936032196.0,
2011-09-27,1163.32,1195.86,1163.32,1175.38,918370180.0,
2011-09-28,1175.39,1184.71,1150.4,1151.06,805648695.0,
2011-09-29,1151.74,1175.87,1139.93,1160.4,916193096.0,
2011-09-30,1159.93,1159.93,1131.34,1131.42,1009143760.0,
2011-10-03,1131.21,1138.99,1098.92,1099.23,1097294712.0,
2011-10-04,1097.42,1125.12,1074.77,1123.95,1268744920.0,
2011-10-05,1124.03,1146.07,1115.68,1144.03,1045392872.0,
2011-10-06,1144.11,1165.55,1134.95,1164.97,890440215.0,
2011-10-07,1165.03,1171.4,1150.26,1155.46,902840742.0,
2011-10-10,1158.15,1194.91,1158.15,1194.89,682170722.0,
2011-10-11,1194.6,1199.24,1187.3,1195.54,664498673.0,
2011-10-12,1196.19,1220.25,1196.19,1207.25,822152131.0,
2011-10-13,1206.96,1207.46,1190.58,1203.66,702352831.0,
2011-10-14,1205.65,1224.61,1205.65,1224.58,646388123.0,
2011-10-17,1224.47,1224.47,1198.55,1200.86,695617900.0,
2011-10-18,1200.75,1233.1,1191.48,1225.38,881906640.0,
2011-10-19,1223.46,1229.64,1206.31,1209.88,816954621.0,
2011-10-20,1209.92,1219.53,1197.34,1215.39,801578469.0,
2011-10-21,1215.39,1239.03,1215.39,1238.25,1061765815.0,
2011-10-24,1238.72,1256.55,1238.72,1254.2,725209041.0,
2011-10-25,1254.19,1254.19,1226.79,1229.05,793310097.0,
2011-10-26,1229.17,1246.28,1221.06,1242.0,908823874.0,
2011-10-27,1243.97,1292.66,1243.97,1284.59,1075868338.0,
2011-10-28,1284.39,1287.08,1277.01,1285.09,787339317.0,
2011-10-31,1284.96,1284.96,1253.16,1253.3,890643181.0,
2011-11-01,1251.0,1251.0,1215.42,1218.28,1031772560.0,
2011-11-02,1219.62,1242.48,1219.62,1237.9,767676879.0,
2011-11-03,1238.25,1263.21,1234.81,1261.16,807174088.0,
2011-11-04,1260.82,1260.82,1238.92,1253.23,683968092.0,
2011-11-07,1253.21,1261.7,1240.75,1261.12,615246796.0,
2011-11-08,1261.12,1277.55,1254.99,1275.92,677848976.0,
2011-11-09,1275.18,1275.18,1226.64,1229.1,887203194.0,
2011-11-10,1229.59,1246.22,1227.7,1239.69,705756082.0,
2011-11-11,1240.12,1266.98,1240.12,1263.86,587649811.0,
2011-11-14,1263.85,1263.85,1246.68,1251.78,544501006.0,
2011-11-15,1251.7,1264.25,1244.34,1257.81,637513163.0,
2011-11-16,1257.81,1259.61,1235.67,1236.91,764492724.0,
2011-11-17,1236.56,1237.73,1209.43,1216.13,835842251.0,
2011-11-18,1216.19,1223.51,1211.36,1215.65,800102035.0,
2011-11-21,1215.62,1215.62,1183.16,1192.98,753514323.0,
2011-11-22,1192.98,1196.81,1181.65,1188.04,685758634.0,
2011-11-23,1187.48,1187.48,1161.79,1161.79,704413086.0,
2011-11-25,1161.41,1172.66,1158.66,1158.67,343709123.0,
2011-11-28,1158.67,1197.35,1158.67,1192.55,751522864.0,
2011-11-29,1192.56,1203.67,1191.8,1195.19,670439260.0,
2011-11-30,1196.72,1247.11,1196.72,1246.96,1200213080.0,
2011-12-01,1246.91,1251.09,1239.73,1244.58,652297241.0,
2011-12-02,1246.03,1260.08,1243.35,1244.28,681918655.0,
2011-12-05,1244.33,1266.73,1244.33,1257.08,697392465.0,
2011-12-06,1257.19,1266.03,1253.03,1258.47,607898028.0,
2011-12-07,1258.14,1267.06,1244.8,1261.01,732674243.0,
2011-12-08,1260.87,1260.87,1231.47,1234.35,724605280.0,
2011-12-09,1234.48,1258.25,1234.48,1255.19,618157841.0,
2011-12-12,1255.05,1255.05,1227.25,1236.47,621855939.0,
2011-12-13,1236.83,1249.86,1219.43,1225.73,747075359.0,
2011-12-14,1225.73,1225.73,1209.47,1211.82,720140296.0,
2011-12-15,1212.12,1225.6,1212.12,1215.75,663378705.0,
2011-12-16,1216.09,1231.04,1215.2,1219.66,1426520858.0,
2011-12-19,1219.74,1224.57,1202.37,1205.35,587340218.0,
2011-12-20,1205.72,1242.82,1205.72,1241.31,754007695.0,
2011-12-21,1241.25,1245.09,1229.51,1243.72,749174688.0,
2011-12-22,1243.72,1255.22,1243.72,1254.0,640867421.0,
2011-12-23,1254.0,1265.42,1254.0,1265.33,366478641.0,
2011-12-27,1265.02,1269.37,1262.3,1265.43,355395221.0,
2011-12-28,1265.38,1265.85,1248.64,1249.64,399877467.0,
2011-12-29,1249.75,1263.54,1249.75,1263.02,387516401.0,
2011-12-30,1262.82,1264.12,1257.46,1257.61,431155077.0,
2012-01-03,1258.86,1284.62,1258.86,1277.06,678971794.0,
2012-01-04,1277.03,1278.73,1268.1,1277.3,640869413.0,
2012-01-05,1277.3,1283.05,1265.26,1281.06,676180973.0,
2012-01-06,1280.93,1281.84,1273.34,1277.81,596105163.0,
2012-01-09,1277.83,1281.99,1274.55,1280.7,592425715.0,
2012-01-10,1280.77,1296.46,1280.77,1292.08,665245368.0,
2012-01-11,1292.02,1293.8,1285.41,1292.48,577531905.0,
2012-01-12,1292.48,1296.82,1285.77,1295.5,590075633.0,
2012-01-13,1294.82,1294.82,1277.58,1289.09,665046452.0,
2012-01-17,1290.22,1303.0,1290.22,1293.67,654204793.0,
2012-01-18,1293.65,1308.11,1290.99,1308.04,704686413.0,
2012-01-19,1308.07,1315.49,1308.07,1314.5,682343748.0,
2012-01-20,1314.49,1315.38,1309.17,1315.38,893773407.0,
2012-01-23,1315.29,1322.28,1309.89,1316.0,597476379.0,
2012-01-24,1315.96,1315.96,1306.06,1314.66,602734346.0,
2012-01-25,1314.4,1328.3,1307.65,1326.05,715988319.0,
2012-01-26,1326.28,1333.47,1313.6,1318.43,713939989.0,
2012-01-27,1318.25,1320.06,1311.72,1316.33,684854521.0,
2012-01-30,1316.16,1316.16,1300.49,1313.01,585224949.0,
2012-01-31,1313.53,1321.41,1306.69,1312.41,805851600.0,
2012-02-01,1312.45,1330.52,1312.45,1324.09,684278915.0,
2012-02-02,1324.24,1329.19,1321.57,1325.54,592382328.0,
2012-02-03,1326.21,1345.34,1326.21,1344.9,676318594.0,
2012-02-06,1344.32,1344.36,1337.52,1344.33,539291545.0,
2012-02-07,1344.33,1349.24,1335.92,1347.05,545415157.0,
2012-02-08,1347.04,1351.0,1341.95,1349.96,610168523.0,
2012-02-09,1349.97,1354.32,1344.63,1351.95,626872188.0,
2012-02-10,1351.21,1351.21,1337.35,1342.64,585432172.0,
2012-02-13,1343.06,1353.35,1343.06,1351.77,516968163.0,
2012-02-14,1351.3,1351.3,1340.83,1350.5,642037047.0,
2012-02-15,1350.52,1355.87,1340.8,1343.23,641017618.0,
2012-02-16,1342.61,1359.02,1341.22,1358.04,626443517.0,
2012-02-17,1358.06,1363.4,1357.24,1361.23,864006903.0,
2012-02-21,1361.22,1367.76,1358.11,1362.21,645263294.0,
2012-02-22,1362.11,1362.7,1355.53,1357.66,584640416.0,
2012-02-23,1357.53,1364.24,1352.28,1363.46,580674256.0,
2012-02-24,1363.46,1368.92,1363.46,1365.74,481739690.0,
2012-02-27,1365.2,1371.94,1354.92,1367.59,582264153.0,
2012-02-28,1367.56,1373.09,1365.97,1372.18,596843715.0,
2012-02-29,1372.2,1378.04,1363.81,1365.68,855129868.0,
2012-03-01,1365.9,1376.17,1365.9,1374.09,626351048.0,
2012-03-02,1374.09,1374.53,1366.42,1369.63,478462858.0,
2012-03-05,1369.59,1369.59,1359.13,1364.34,538399183.0,
2012-03-06,1363.63,1363.63,1340.03,1343.36,667561844.0,
2012-03-07,1343.39,1354.85,1343.39,1352.63,625659752.0,
2012-03-08,1352.65,1368.72,1352.65,1365.91,540003721.0,
2012-03-09,1365.97,1374.76,1365.97,1370.87,524496620.0,
2012-03-12,1370.78,1373.04,1366.69,1371.09,481857357.0,
2012-03-13,1371.92,1396.13,1371.92,1395.95,684474424.0,
2012-03-14,1395.95,1399.42,1389.97,1394.28,688684031.0,
2012-03-15,1394.17,1402.63,1392.78,1402.6,677947848.0,
2012-03-16,1402.55,1405.88,1401.47,1404.17,1362302393.0,
2012-03-19,1404.17,1414.0,1402.43,1409.75,558778365.0,
2012-03-20,1409.59,1409.59,1397.68,1405.52,560849566.0,
2012-03-21,1405.52,1407.75,1400.64,1402.9,589411955.0,
2012-03-22,1402.89,1402.89,1388.73,1392.79,580947537.0,
2012-03-23,1392.78,1399.18,1386.87,1397.11,576321760.0,
2012-03-26,1397.11,1416.58,1397.11,1416.51,565915562.0,
2012-03-27,1416.55,1419.15,1411.95,1412.52,562274097.0,
2012-03-28,1412.52,1413.65,1397.2,1405.54,645212444.0,
2012-03-29,1405.39,1405.39,1391.56,1403.28,628170547.0,
2012-03-30,1403.31,1410.89,1401.42,1408.47,755153809.0,
2012-04-02,1408.47,1422.38,1404.46,1419.04,588870686.0,
2012-04-03,1418.98,1419.0,1404.62,1413.38,652731628.0,
2012-04-04,1413.09,1413.09,1394.09,1398.96,640463480.0,
2012-04-05,1398.79,1401.6,1392.92,1398.08,595254355.0,
2012-04-09,1397.45,1397.45,1378.24,1382.2,538616736.0,
2012-04-10,1382.18,1383.01,1357.38,1358.59,733544226.0,
2012-04-11,1358.98,1374.71,1358.98,1368.71,593003219.0,
2012-04-12,1368.77,1388.13,1368.77,1387.57,547368855.0,
2012-04-13,1387.61,1387.61,1369.85,1370.26,631237818.0,
2012-04-16,1370.27,1379.66,1365.38,1369.57,596952142.0,
2012-04-17,1369.57,1392.76,1369.57,1390.78,566529200.0,
2012-04-18,1390.78,1390.78,1383.29,1385.14,582061905.0,
2012-04-19,1385.08,1390.46,1370.3,1376.92,676165071.0,
2012-04-20,1376.96,1387.4,1376.96,1378.53,887960829.0,
2012-04-23,1378.53,1378.53,1358.79,1366.94,642154910.0,
2012-04-24,1366.97,1375.57,1366.82,1371.97,617978324.0,
2012-04-25,1372.11,1391.37,1372.11,1390.69,641079321.0,
2012-04-26,1390.64,1402.09,1387.28,1399.98,599315144.0,
2012-04-27,1400.19,1406.64,1397.31,1403.36,582286828.0,
2012-04-30,1403.26,1403.26,1394.0,1397.91,614539039.0,
2012-05-01,1397.86,1415.32,1395.73,1405.82,573667396.0,
2012-05-02,1405.5,1405.5,1393.92,1402.31,554809121.0,
2012-05-03,1402.32,1403.07,1388.71,1391.57,589986515.0,
2012-05-04,1391.51,1391.51,1367.96,1369.1,596064442.0,
2012-05-07,1368.79,1373.91,1363.94,1369.58,586001040.0,
2012-05-08,1369.16,1369.16,1347.75,1363.72,690165759.0,
2012-05-09,1363.2,1363.73,1343.13,1354.58,728912431.0,
2012-05-10,1354.58,1365.88,1354.58,1357.99,657005785.0,
2012-05-11,1358.11,1365.66,1348.89,1353.39,627982890.0,
2012-05-14,1351.93,1351.93,1336.61,1338.35,641538618.0,
2012-05-15,1338.36,1344.94,1328.41,1330.66,665603905.0,
2012-05-16,1330.78,1341.78,1324.79,1324.8,677159356.0,
2012-05-17,1324.82,1326.36,1304.86,1304.86,693854102.0,
2012-05-18,1305.05,1312.24,1291.98,1295.22,999102146.0,
2012-05-21,1295.73,1316.39,1295.73,1315.99,660701790.0,
2012-05-22,1316.09,1328.49,1310.04,1316.63,649988236.0,
2012-05-23,1316.02,1320.71,1296.53,1318.86,710563647.0,
2012-05-24,1318.72,1324.14,1310.5,1320.68,624818257.0,
2012-05-25,1320.81,1324.2,1314.23,1317.82,458230525.0,
2012-05-29,1318.9,1334.93,1318.9,1332.42,560752820.0,
2012-05-30,1331.25,1331.25,1310.76,1313.32,590658263.0,
2012-05-31,1313.09,1319.74,1298.9,1310.33,951090807.0,
2012-06-01,1309.87,1309.87,1277.25,1278.05,794839104.0,
2012-06-04,1278.29,1282.55,1266.74,1278.18,647897641.0,
2012-06-05,1277.82,1287.62,1274.16,1285.5,564873427.0,
2012-06-06,1285.61,1315.13,1285.61,1315.13,666071408.0,
2012-06-07,1316.15,1329.05,1312.68,1314.99,658585816.0,
2012-06-08,1314.99,1325.81,1307.77,1325.66,539308833.0,
2012-06-11,1325.72,1335.52,1307.73,1308.93,578636150.0,
2012-06-12,1309.4,1324.31,1306.62,1324.18,586248896.0,
2012-06-13,1324.02,1327.28,1310.51,1314.88,566078571.0,
2012-06-14,1314.88,1333.68,1314.14,1329.1,616595829.0,
2012-06-15,1329.19,1343.32,1329.19,1342.84,1149111507.0,
2012-06-18,1342.42,1348.22,1334.46,1344.78,548918363.0,
2012-06-19,1344.83,1363.46,1344.83,1357.98,594853935.0,
2012-06-20,1358.04,1361.57,1346.45,1355.69,582090943.0,
2012-06-21,1355.43,1358.27,1324.41,1325.51,687558953.0,
2012-06-22,1325.92,1337.82,1325.92,1335.02,937475276.0,
2012-06-25,1334.9,1334.9,1309.27,1313.72,605834900.0,
2012-06-26,1314.09,1324.24,1310.3,1319.99,557936483.0,
2012-06-27,1320.71,1334.4,1320.71,1331.85,508537809.0,
2012-06-28,1331.52,1331.52,1313.29,1329.04,701561356.0,
2012-06-29,1330.12,1362.17,1330.12,1362.16,862205984.0,
2012-07-02,1362.33,1366.35,1355.7,1365.51,550391112.0,
2012-07-03,1365.75,1374.81,1363.53,1374.02,340459605.0,
2012-07-05,1373.72,1373.85,1363.02,1367.58,499612001.0,
2012-07-06,1367.09,1367.09,1348.03,1354.68,483174475.0,
2012-07-09,1354.66,1354.87,1346.65,1352.46,496238941.0,
2012-07-10,1352.96,1361.54,1336.27,1341.47,568883923.0,
2012-07-11,1341.4,1345.0,1333.25,1341.46,606265402.0,
2012-07-12,1341.29,1341.29,1325.41,1334.76,611763808.0,
2012-07-13,1334.81,1357.7,1334.81,1356.78,530837257.0,
2012-07-16,1356.5,1357.26,1348.51,1353.64,471627028.0,
2012-07-17,1353.68,1365.36,1345.07,1363.67,577939420.0,
2012-07-18,1363.58,1375.26,1358.96,1372.78,589123794.0,
2012-07-19,1373.01,1380.39,1371.21,1376.51,643162935.0,
2012-07-20,1376.51,1376.51,1362.19,1362.66,863626746.0,
2012-07-23,1362.34,1362.34,1337.56,1350.52,602347070.0,
2012-07-24,1350.52,1351.53,1329.24,1338.31,632833439.0,
2012-07-25,1338.35,1343.98,1331.5,1337.89,653733649.0,
2012-07-26,1338.17,1363.13,1338.17,1360.02,714242024.0,
2012-07-27,1360.05,1389.19,1360.05,1385.97,751211862.0,
2012-07-30,1385.94,1391.74,1381.37,1385.3,492528744.0,
2012-07-31,1385.27,1387.16,1379.17,1379.32,679418382.0,
2012-08-01,1379.32,1385.03,1373.35,1375.14,703061140.0,
2012-08-02,1375.13,1375.13,1354.65,1365.0,625895096.0,
2012-08-03,1365.45,1394.16,1365.45,1390.99,558787143.0,
2012-08-06,1391.04,1399.63,1391.04,1394.23,486460084.0,
2012-08-07,1394.46,1407.14,1394.46,1401.35,533384404.0,
2012-08-08,1401.23,1404.14,1396.13,1402.22,472937837.0,
2012-08-09,1402.26,1405.95,1398.8,1402.8,456085653.0,
2012-08-10,1402.58,1405.98,1395.62,1405.87,490295586.0,
2012-08-13,1405.87,1405.87,1397.32,1404.11,396726835.0,
2012-08-14,1404.36,1410.03,1400.6,1403.93,453956438.0,
2012-08-15,1403.89,1407.73,1401.83,1405.53,438823213.0,
2012-08-16,1405.57,1417.44,1404.15,1415.51,521541203.0,
2012-08-17,1415.84,1418.71,1414.67,1418.16,600927152.0,
2012-08-20,1417.85,1418.13,1412.12,1418.13,443600748.0,
2012-08-21,1418.13,1426.68,1410.86,1413.17,531114473.0,
2012-08-22,1413.09,1416.12,1406.78,1413.49,508463353.0,
2012-08-23,1413.49,1413.49,1400.5,1402.08,462197996.0,
2012-08-24,1401.99,1413.46,1398.04,1411.13,432340006.0,
2012-08-27,1411.13,1416.17,1409.11,1410.44,421847045.0,
2012-08-28,1410.44,1413.63,1405.59,1409.3,410787879.0,
2012-08-29,1409.32,1413.95,1406.57,1410.49,408841237.0,
2012-08-30,1410.08,1410.08,1397.01,1399.48,406387490.0,
2012-08-31,1400.07,1413.09,1398.96,1406.58,575151907.0,
2012-09-04,1406.54,1409.31,1396.56,1404.94,479796300.0,
2012-09-05,1404.94,1408.81,1401.25,1403.43,485651150.0,
2012-09-06,1403.74,1432.12,1403.74,1432.12,577384923.0,
2012-09-07,1432.12,1437.92,1431.45,1437.92,550364754.0,
2012-09-10,1437.92,1438.74,1428.98,1429.08,494991792.0,
2012-09-11,1429.13,1437.76,1429.13,1433.57,527348696.0,
2012-09-12,1433.56,1439.15,1432.99,1436.56,509502876.0,
2012-09-13,1436.56,1463.76,1435.34,1459.99,617087375.0,
2012-09-14,1460.07,1474.51,1460.07,1465.77,745929965.0,
2012-09-17,1465.42,1465.63,1457.55,1461.19,525147485.0,
2012-09-18,1461.19,1461.47,1456.13,1459.32,518979297.0,
2012-09-19,1459.5,1465.15,1457.88,1461.05,536734501.0,
2012-09-20,1461.05,1461.23,1449.98,1460.26,541019365.0,
2012-09-21,1460.34,1467.07,1459.51,1460.15,1501955117.0,
2012-09-24,1459.76,1460.72,1452.06,1456.89,509947957.0,
2012-09-25,1456.94,1463.24,1441.59,1441.59,609070349.0,
2012-09-26,1441.6,1441.6,1430.53,1433.32,545300724.0,
2012-09-27,1433.36,1450.2,1433.36,1447.15,498622653.0,
2012-09-28,1447.13,1447.13,1435.6,1440.67,640858594.0,
2012-10-01,1440.9,1457.14,1440.9,1444.49,528217559.0,
2012-10-02,1444.99,1451.52,1439.01,1445.75,468189248.0,
2012-10-03,1446.05,1454.3,1441.99,1450.99,522672677.0,
2012-10-04,1451.08,1463.14,1451.08,1461.4,510423102.0,
2012-10-05,1461.4,1470.96,1456.89,1460.93,485459808.0,
2012-10-08,1460.93,1460.93,1453.1,1455.88,359194375.0,
2012-10-09,1455.9,1455.9,1441.18,1441.48,487372210.0,
2012-10-10,1441.48,1442.52,1430.64,1432.56,463834221.0,
2012-10-11,1432.82,1443.9,1432.82,1432.84,506534610.0,
2012-10-12,1432.84,1438.43,1425.53,1428.59,523055962.0,
2012-10-15,1428.75,1441.31,1427.24,1440.13,505754457.0,
2012-10-16,1440.31,1455.51,1440.31,1454.92,502770009.0,
2012-10-17,1454.22,1462.2,1453.35,1460.91,568299666.0,
2012-10-18,1460.94,1464.02,1452.63,1457.34,586051966.0,
2012-10-19,1457.34,1457.34,1429.85,1433.19,909848500.0,
2012-10-22,1433.21,1435.46,1422.06,1433.82,537693528.0,
2012-10-23,1433.74,1433.74,1407.56,1413.11,608605288.0,
2012-10-24,1413.2,1420.04,1407.1,1408.75,561183118.0,
2012-10-25,1409.74,1421.12,1405.14,1412.97,577411743.0,
2012-10-26,1412.97,1417.09,1403.28,1411.94,624422851.0,
2012-10-31,1410.99,1418.76,1405.95,1412.16,669957869.0,
2012-11-01,1412.2,1428.35,1412.2,1427.59,616103466.0,
2012-11-02,1427.59,1434.27,1412.91,1414.2,629411967.0,
2012-11-05,1414.02,1419.9,1408.13,1417.26,485471519.0,
2012-11-06,1417.26,1433.38,1417.26,1428.39,564275752.0,
2012-11-07,1428.27,1428.27,1388.14,1394.53,712068605.0,
2012-11-08,1394.53,1401.23,1377.51,1377.51,628285491.0,
2012-11-09,1377.55,1391.39,1373.03,1379.85,595168991.0,
2012-11-12,1379.86,1384.87,1377.19,1380.03,300848484.0,
2012-11-13,1380.03,1388.81,1371.39,1374.53,575005860.0,
2012-11-14,1374.64,1380.13,1352.5,1355.49,688834521.0,
2012-11-15,1355.41,1360.62,1348.05,1353.33,631895705.0,
2012-11-16,1353.36,1362.03,1343.35,1359.88,866366583.0,
2012-11-19,1359.88,1386.89,1359.88,1386.89,589446562.0,
2012-11-20,1386.82,1389.77,1377.04,1387.81,529088597.0,
2012-11-21,1387.79,1391.25,1386.39,1391.03,408807177.0,
2012-11-23,1391.03,1409.16,1391.03,1409.15,248312171.0,
2012-11-26,1409.15,1409.15,1397.68,1406.29,532653753.0,
2012-11-27,1406.29,1409.01,1398.03,1398.94,550774475.0,
2012-11-28,1398.77,1410.31,1385.43,1409.93,577114241.0,
2012-11-29,1409.96,1419.7,1409.04,1415.95,531923078.0,
2012-11-30,1415.95,1418.86,1411.63,1416.18,855038963.0,
2012-12-03,1416.34,1423.73,1408.46,1409.46,540951928.0,
2012-12-04,1409.46,1413.14,1403.65,1407.05,559464749.0,
2012-12-05,1407.05,1415.56,1398.23,1409.28,628384399.0,
2012-12-06,1409.43,1413.95,1405.93,1413.94,523123964.0,
2012-12-07,1413.95,1420.34,1410.9,1418.07,487081635.0,
2012-12-10,1418.07,1421.64,1415.64,1418.55,488123624.0,
2012-12-11,1418.55,1434.27,1418.55,1427.84,590599270.0,
2012-12-12,1427.84,1438.59,1426.76,1428.48,569768218.0,
2012-12-13,1428.48,1431.36,1416.0,1419.45,522071756.0,
2012-12-14,1419.45,1419.45,1411.88,1413.58,533732536.0,
2012-12-17,1413.54,1430.67,1413.54,1430.36,584239262.0,
2012-12-18,1430.47,1448.0,1430.47,1446.79,655620176.0,
2012-12-19,1446.79,1447.75,1435.8,1435.81,576888992.0,
2012-12-20,1435.81,1443.7,1432.82,1443.69,532168240.0,
2012-12-21,1443.67,1443.67,1422.58,1430.15,1538060980.0,
2012-12-24,1430.15,1430.15,1424.66,1426.66,227982671.0,
2012-12-26,1426.66,1429.42,1416.43,1419.83,363632127.0,
2012-12-27,1419.83,1422.8,1401.8,1418.1,445660126.0,
2012-12-28,1418.1,1418.1,1401.58,1402.43,411216013.0,
2012-12-31,1402.43,1426.74,1398.11,1426.19,601105595.0,
2013-01-02,1426.19,1462.43,1426.19,1462.42,680468887.0,
2013-01-03,1462.42,1465.47,1455.53,1459.37,576168377.0,
2013-01-04,1459.37,1467.94,1458.99,1466.47,499318241.0,
2013-01-07,1466.47,1466.47,1456.62,1461.89,490281855.0,
2013-01-08,1461.89,1461.89,1451.64,1457.15,546030196.0,
2013-01-09,1457.15,1464.73,1457.15,1461.02,507352339.0,
2013-01-10,1461.02,1472.3,1461.02,1472.12,569101608.0,
2013-01-11,1472.12,1472.75,1467.58,1472.05,488474710.0,
2013-01-14,1472.05,1472.05,1465.69,1470.68,491726667.0,
2013-01-15,1470.67,1473.31,1463.76,1472.34,483929754.0,
2013-01-16,1472.33,1473.96,1467.6,1472.63,513146651.0,
2013-01-17,1472.63,1485.16,1472.63,1480.94,604124168.0,
2013-01-18,1480.95,1485.98,1475.81,1485.98,930380416.0,
2013-01-22,1485.98,1492.56,1481.16,1492.56,569950415.0,
2013-01-23,1492.56,1496.13,1489.9,1494.81,494336364.0,
2013-01-24,1494.81,1502.27,1489.46,1494.82,554969604.0,
2013-01-25,1494.82,1503.26,1494.82,1502.96,570690753.0,
2013-01-28,1502.96,1503.23,1496.33,1500.18,535161284.0,
2013-01-29,1500.18,1509.35,1498.09,1507.84,607226822.0,
2013-01-30,1507.84,1509.94,1500.11,1501.96,569791886.0,
2013-01-31,1501.96,1504.19,1496.76,1498.11,740722934.0,
2013-02-01,1498.11,1514.41,1498.11,1513.17,598682842.0,
2013-02-04,1513.17,1513.17,1495.02,1495.71,584697137.0,
2013-02-05,1495.71,1514.96,1495.71,1511.29,587275066.0,
2013-02-06,1511.29,1512.53,1504.71,1512.12,556294272.0,
2013-02-07,1512.12,1512.9,1498.49,1509.39,553191106.0,
2013-02-08,1509.39,1518.31,1509.39,1517.93,477527355.0,
2013-02-11,1517.93,1518.31,1513.61,1517.01,400159936.0,
2013-02-12,1517.01,1522.29,1515.61,1519.43,489501408.0,
2013-02-13,1519.43,1524.69,1515.93,1520.33,513566760.0,
2013-02-14,1520.33,1523.14,1514.02,1521.38,533981163.0,
2013-02-15,1521.38,1524.24,1514.14,1519.79,811687527.0,
2013-02-19,1519.79,1530.94,1519.79,1530.94,571763113.0,
2013-02-20,1530.94,1530.94,1511.41,1511.95,594170837.0,
2013-02-21,1511.95,1511.95,1497.29,1502.42,599309733.0,
2013-02-22,1502.42,1515.64,1502.42,1515.6,515547187.0,
2013-02-25,1515.6,1525.84,1487.85,1487.85,637253807.0,
2013-02-26,1487.85,1498.99,1485.01,1496.94,579446748.0,
2013-02-27,1496.94,1520.08,1494.88,1515.99,492036304.0,
2013-02-28,1515.99,1525.34,1514.46,1514.68,748922962.0,
2013-03-01,1514.68,1519.99,1501.48,1518.2,548455805.0,
2013-03-04,1518.2,1525.27,1512.29,1525.2,513849650.0,
2013-03-05,1525.2,1543.47,1525.2,1539.79,522751863.0,
2013-03-06,1539.79,1545.25,1538.11,1541.46,502355712.0,
2013-03-07,1541.46,1545.78,1541.46,1544.26,498992384.0,
2013-03-08,1544.26,1552.48,1542.94,1551.18,487435920.0,
2013-03-11,1551.15,1556.27,1547.36,1556.22,450470313.0,
2013-03-12,1556.22,1556.77,1548.24,1552.48,466648301.0,
2013-03-13,1552.48,1556.39,1548.25,1554.52,420973937.0,
2013-03-14,1554.52,1563.32,1554.52,1563.23,504222129.0,
2013-03-15,1563.21,1563.62,1555.74,1560.7,1447565361.0,
2013-03-18,1560.7,1560.7,1545.13,1552.1,507141269.0,
2013-03-19,1552.1,1557.25,1538.57,1548.34,544882011.0,
